Tanggal,Hour_Created,Hour_Update,cctv_id,type_object,type_validation,"Jumlah Deviasi"
2022-11-25,16,NULL,2,Person,not_yet,15
2022-11-25,16,NULL,5,HD,not_yet,1036
2022-11-25,16,NULL,5,LV,not_yet,41
2022-11-25,16,NULL,5,Person,not_yet,5
2022-11-25,17,NULL,1,HD,not_yet,1709
2022-11-25,17,NULL,1,LV,not_yet,36
2022-11-25,17,NULL,1,Person,not_yet,65
2022-11-25,17,NULL,2,HD,not_yet,738
2022-11-25,17,NULL,2,Person,not_yet,37
2022-11-25,17,NULL,5,HD,not_yet,1074
2022-11-25,17,NULL,5,LV,not_yet,250
2022-11-25,17,NULL,5,Person,not_yet,60
2022-11-26,6,NULL,1,HD,not_yet,353
2022-11-26,6,NULL,1,Person,not_yet,50
2022-11-26,6,NULL,2,HD,not_yet,2086
2022-11-26,6,NULL,2,LV,not_yet,35
2022-11-26,6,NULL,2,Person,not_yet,7
2022-11-26,6,NULL,5,HD,not_yet,1435
2022-11-26,6,NULL,5,LV,not_yet,291
2022-11-26,6,NULL,5,Person,not_yet,2
2022-11-26,7,NULL,1,HD,not_yet,165
2022-11-26,7,NULL,1,Person,not_yet,60
2022-11-26,7,NULL,2,HD,not_yet,1540
2022-11-26,7,NULL,2,LV,not_yet,3
2022-11-26,7,NULL,2,Person,not_yet,130
2022-11-26,7,NULL,5,HD,not_yet,1283
2022-11-26,7,NULL,5,LV,not_yet,119
2022-11-26,7,NULL,5,Person,not_yet,7
2022-11-26,8,NULL,1,HD,not_yet,1579
2022-11-26,8,NULL,1,LV,not_yet,7
2022-11-26,8,NULL,1,Person,not_yet,42
2022-11-26,8,NULL,2,HD,not_yet,1693
2022-11-26,8,NULL,2,LV,not_yet,10
2022-11-26,8,NULL,2,Person,not_yet,305
2022-11-26,8,NULL,5,HD,not_yet,2484
2022-11-26,8,NULL,5,LV,not_yet,63
2022-11-26,8,NULL,5,Person,not_yet,38
2022-11-26,8,8,2,HD,false,13
